version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_ens	crps	crpss	ign	me	rmse	spread	me_oerr	rmse_oerr	spread_oerr	spread_plus_oerr	crpscl	crps_emp	crpscl_emp	crpss_emp	crps_emp_fair	spread_md	mae	mae_oerr	bias_ratio	n_ge_obs	me_ge_obs	n_lt_obs	me_lt_obs	stat_name	stat_value
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	210000	2022-05-05 21:00:00	2022-05-05 21:00:00	2022-05-05	0	2022-05-05 20:30:01	2022-05-05 21:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4248	10.0	1.1471	NA	2.37883	-0.20551	2.0728	1.46039	-0.21207	2.11456	1.82676	1.82832	NA	1.18119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	210000	2022-05-05 21:00:00	2022-05-05 21:00:00	2022-05-05	0	2022-05-05 20:30:01	2022-05-05 21:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4177	10.0	1.31157	NA	3.07414	0.80502	2.55977	1.17021	0.8082	2.58571	1.61732	1.60605	NA	1.35063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	210000	2022-05-05 21:00:00	2022-05-05 21:00:00	2022-05-05	0	2022-05-05 20:30:01	2022-05-05 21:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4088	10.0	1.0332	NA	2.11343	0.05405	1.80459	1.11962	0.051017	1.84246	1.64495	1.6412	NA	1.06579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	290000	2022-05-06 05:00:00	2022-05-06 05:00:00	2022-05-05	0	2022-05-06 04:30:01	2022-05-06 05:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4211	10.0	1.01454	NA	2.42869	0.0066428	1.84083	0.88688	-0.00042644	1.87557	1.40639	1.41299	NA	1.04389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	290000	2022-05-06 05:00:00	2022-05-06 05:00:00	2022-05-05	0	2022-05-06 04:30:01	2022-05-06 05:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4142	10.0	1.1896	NA	2.47749	0.74459	2.39327	1.14121	0.74877	2.41099	1.5911	1.58504	NA	1.22698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	290000	2022-05-06 05:00:00	2022-05-06 05:00:00	2022-05-05	0	2022-05-06 04:30:01	2022-05-06 05:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4148	10.0	1.07653	NA	2.18704	0.80362	1.84387	1.11153	0.79948	1.88566	1.63451	1.63569	NA	1.10498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	350000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-05	0	2022-05-06 10:30:01	2022-05-06 11:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4390	10.0	1.03599	NA	2.33576	0.16833	1.84425	0.98995	0.16793	1.88009	1.48606	1.47987	NA	1.06497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	350000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-05	0	2022-05-06 10:30:01	2022-05-06 11:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4307	10.0	1.09989	NA	2.30863	0.57347	2.17881	1.17999	0.57032	2.20513	1.61405	1.61319	NA	1.13402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	350000	2022-05-06 11:00:00	2022-05-06 11:00:00	2022-05-05	0	2022-05-06 10:30:01	2022-05-06 11:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4344	10.0	1.04061	NA	2.18299	0.71835	1.8121	1.01016	0.71518	1.85823	1.5756	1.56858	NA	1.07046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	310000	2022-05-06 07:00:00	2022-05-06 07:00:00	2022-05-05	0	2022-05-06 06:30:01	2022-05-06 07:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4022	10.0	1.01903	NA	2.33533	0.13364	1.81338	0.90989	0.12923	1.85133	1.4303	1.42755	NA	1.04746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	310000	2022-05-06 07:00:00	2022-05-06 07:00:00	2022-05-05	0	2022-05-06 06:30:01	2022-05-06 07:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3950	10.0	1.1613	NA	2.45123	0.69921	2.27754	1.13716	0.70232	2.30453	1.58055	1.58213	NA	1.19869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	310000	2022-05-06 07:00:00	2022-05-06 07:00:00	2022-05-05	0	2022-05-06 06:30:01	2022-05-06 07:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3969	10.0	1.0654	NA	2.17773	0.79515	1.83862	1.0723	0.78992	1.88006	1.60233	1.60929	NA	1.09223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	280000	2022-05-06 04:00:00	2022-05-06 04:00:00	2022-05-05	0	2022-05-06 03:30:01	2022-05-06 04:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4171	10.0	1.02577	NA	2.41649	-0.054627	1.90023	0.90438	-0.06092	1.92814	1.41379	1.42405	NA	1.05455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	280000	2022-05-06 04:00:00	2022-05-06 04:00:00	2022-05-05	0	2022-05-06 03:30:01	2022-05-06 04:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4098	10.0	1.26247	NA	2.59978	0.80402	2.53692	1.15827	0.80493	2.55968	1.60043	1.59737	NA	1.29875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	280000	2022-05-06 04:00:00	2022-05-06 04:00:00	2022-05-05	0	2022-05-06 03:30:01	2022-05-06 04:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4115	10.0	1.07646	NA	2.17195	0.7969	1.8383	1.14895	0.79563	1.87562	1.65538	1.66135	NA	1.10666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	190000	2022-05-05 19:00:00	2022-05-05 19:00:00	2022-05-05	0	2022-05-05 18:30:01	2022-05-05 19:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4144	10.0	1.07142	NA	2.32661	0.0064739	1.99567	1.34982	3.1945e-05	2.02571	1.74242	1.74127	NA	1.10802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	190000	2022-05-05 19:00:00	2022-05-05 19:00:00	2022-05-05	0	2022-05-05 18:30:01	2022-05-05 19:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4081	10.0	1.18002	NA	2.91261	0.73625	2.32571	1.0671	0.74143	2.34695	1.54202	1.53255	NA	1.21498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	190000	2022-05-05 19:00:00	2022-05-05 19:00:00	2022-05-05	0	2022-05-05 18:30:01	2022-05-05 19:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	3930	10.0	1.01177	NA	2.10144	0.10703	1.785	1.0344	0.10242	1.82735	1.58421	1.58429	NA	1.04318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	90000	2022-05-05 09:00:00	2022-05-05 09:00:00	2022-05-05	0	2022-05-05 08:30:01	2022-05-05 09:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4465	10.0	0.97284	NA	2.30545	0.43306	1.72122	0.72304	0.43401	1.75309	1.31956	1.31635	NA	0.99816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	90000	2022-05-05 09:00:00	2022-05-05 09:00:00	2022-05-05	0	2022-05-05 08:30:01	2022-05-05 09:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4391	10.0	0.94904	NA	2.38737	0.48593	2.00295	0.82873	0.48653	2.0256	1.37852	1.37724	NA	0.97789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	90000	2022-05-05 09:00:00	2022-05-05 09:00:00	2022-05-05	0	2022-05-05 08:30:01	2022-05-05 09:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4431	10.0	1.00555	NA	2.09217	0.78443	1.69986	0.97548	0.77661	1.73866	1.53637	1.54647	NA	1.03395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	130000	2022-05-05 13:00:00	2022-05-05 13:00:00	2022-05-05	0	2022-05-05 12:30:01	2022-05-05 13:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4237	10.0	0.83071	NA	2.20665	0.15147	1.58295	0.65447	0.14696	1.61618	1.27709	1.27997	NA	0.85646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	130000	2022-05-05 13:00:00	2022-05-05 13:00:00	2022-05-05	0	2022-05-05 12:30:01	2022-05-05 13:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4168	10.0	0.86232	NA	2.38385	-0.04012	1.807	0.81713	-0.037771	1.8329	1.36885	1.37029	NA	0.88739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	130000	2022-05-05 13:00:00	2022-05-05 13:00:00	2022-05-05	0	2022-05-05 12:30:01	2022-05-05 13:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4150	10.0	0.91143	NA	1.98654	0.49236	1.58205	0.93501	0.48828	1.62568	1.51684	1.52126	NA	0.93941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	340000	2022-05-06 10:00:00	2022-05-06 10:00:00	2022-05-05	0	2022-05-06 09:30:01	2022-05-06 10:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4368	10.0	1.02565	NA	2.26851	0.20615	1.83101	0.96443	0.20501	1.86212	1.46997	1.46292	NA	1.05429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	340000	2022-05-06 10:00:00	2022-05-06 10:00:00	2022-05-05	0	2022-05-06 09:30:01	2022-05-06 10:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4292	10.0	1.08667	NA	2.31062	0.62647	2.16435	1.15019	0.62298	2.18937	1.59134	1.59152	NA	1.11949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	340000	2022-05-06 10:00:00	2022-05-06 10:00:00	2022-05-05	0	2022-05-06 09:30:01	2022-05-06 10:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4334	10.0	1.04977	NA	2.1819	0.75227	1.85689	1.03459	0.74999	1.88441	1.57972	1.58441	NA	1.07823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	40000	2022-05-05 04:00:00	2022-05-05 04:00:00	2022-05-05	0	2022-05-05 03:30:01	2022-05-05 04:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4255	10.0	0.92075	NA	2.43397	0.088539	1.80165	0.63935	0.080833	1.83697	1.26887	1.27231	NA	0.94686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	40000	2022-05-05 04:00:00	2022-05-05 04:00:00	2022-05-05	0	2022-05-05 03:30:01	2022-05-05 04:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4185	10.0	0.94115	NA	2.21901	0.47157	1.87324	0.92945	0.47497	1.91133	1.44131	1.4401	NA	0.96935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	40000	2022-05-05 04:00:00	2022-05-05 04:00:00	2022-05-05	0	2022-05-05 03:30:01	2022-05-05 04:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4221	10.0	1.04384	NA	2.12152	0.62767	1.84156	1.08828	0.62618	1.86986	1.61787	1.61999	NA	1.07642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	330000	2022-05-06 09:00:00	2022-05-06 09:00:00	2022-05-05	0	2022-05-06 08:30:01	2022-05-06 09:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4355	10.0	1.03409	NA	2.29162	0.19394	1.85437	0.94042	0.19175	1.89554	1.44436	1.4472	NA	1.06227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	330000	2022-05-06 09:00:00	2022-05-06 09:00:00	2022-05-05	0	2022-05-06 08:30:01	2022-05-06 09:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4282	10.0	1.13618	NA	2.45103	0.66802	2.25542	1.13465	0.66454	2.28614	1.58171	1.58032	NA	1.1733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	330000	2022-05-06 09:00:00	2022-05-06 09:00:00	2022-05-05	0	2022-05-06 08:30:01	2022-05-06 09:30:00	WIND	m/s	Z10	WIND	NA	Z10	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4303	10.0	1.06824	NA	2.19141	0.8122	1.84247	1.02483	0.81038	1.88708	1.57816	1.57806	NA	1.09774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	180000	2022-05-05 18:00:00	2022-05-05 18:00:00	2022-05-05	0	2022-05-05 17:30:01	2022-05-05 18:30:00	TMP	K	Z2	TMP	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4379	10.0	1.03792	NA	2.40391	0.026311	2.00105	1.25472	0.021001	2.03218	1.67899	1.66863	NA	1.07357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
V10.1.1	RRFS_GDAS_GF.SPP.SPPT	NA	180000	2022-05-05 18:00:00	2022-05-05 18:00:00	2022-05-05	0	2022-05-05 17:30:01	2022-05-05 18:30:00	DPT	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	NEAREST	1	NA	NA	-9999	-9999	ECNT	4312	10.0	1.11276	NA	2.76766	0.6652	2.20644	1.0182	0.66361	2.23384	1.50071	1.49891	NA	1.14391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ECNT_N_ENS	
